Date,Type,Country,Activity,Sex ,Age,Injury,Fatal (Y/N),Species,Fatality,Country_value,Sex_value
11-Jan-21,Unprovoked,AUSTRALIA,Swimming,M,7,Injury to leg,N,,0.0,2.0,0.0
9-Jan-21,Unprovoked,ST KITTS / NEVIS,Swimming / Kayaking,F,26,"Severe injury to left leg, resulting in amputation above the knee",N,,0.0,130.0,1.0
7-Jan-21,Unprovoked,NEW ZEALAND,Swimming,F,19,FATAL,Y,,1.0,5.0,1.0
3-Jan-21,Unprovoked,USA,Surfing,M,19,"No injury, board damaged",N,,0.0,1.0,0.0
2-Jan-21,Unprovoked,USA,Surfing,M,17,1.5 cut to ankle,N,,0.0,1.0,0.0
2-Jan-21,Unprovoked,USA,Swimming,F,68,Significant injury to right lower leg,N,,0.0,1.0,1.0
30-Dec-20,Unprovoked,USA,Swimming,M,,No injury. Swim fin bittten,N,White shark,0.0,1.0,0.0
23-Dec-20,Unprovoked,MALDIVES,Fell off fishing boat,M,40,Injuries to leg,N,,0.0,97.0,0.0
10-Dec-20,Unprovoked,ST MARTIN,Swimming,F,39,FATAL,Y,Tiger shark,1.0,126.0,1.0
9-Dec-20,Unprovoked,AUSTRALIA,Surfing,M,,"No injury, Board bitten",N,,0.0,2.0,0.0
8-Dec-20,Unprovoked,USA,Surfing,M,56,FATAL,Y,Tiger shark,1.0,1.0,0.0
6-Dec-20,Unprovoked,USA,Surfing,M,20,Non-life-threatening to left lower leg & foot,N,,0.0,1.0,0.0
6-Dec-20,Unprovoked,AUSTRALIA,Surfing,M,29,Non-life-threatening injuries to buttock and thigh,N,White shark,0.0,2.0,0.0
2-Dec-20,Unprovoked,EGYPT,Scuba diving,F,42,Left shoulder bitten,N,Oceanic whitetip shark,0.0,14.0,1.0
26-Nov-20,Unprovoked,USA,Snorkeling,F,35,Severe injury to torso,N,,0.0,1.0,1.0
23-Nov-20,Unprovoked,NEW CALEDONIA,Snorkeling,F,,Three 3-inch lacerations to thigh,N,Tiger shark,0.0,10.0,1.0
22-Nov-20,Unprovoked,AUSTRALIA,Body boarding,M,59,FATAL,Y,Bull shark,1.0,2.0,0.0
2-Nov-20,Unprovoked,AUSTRALIA,Surfing,M,13,"Minor injury to left foot, leg and finger",N,,0.0,2.0,0.0
31-Oct-20,Unprovoked,USA,Swimming,M,17,Minor injuries,N,Blacktip shark,0.0,1.0,0.0
30-Oct-20,Unprovoked,BAHAMAS,Spearfishing,M,,Hand/wrist bitten,N,Reef shark,0.0,6.0,0.0
29-Oct-20,Unprovoked,USA,Surfing,M,,Hand bitten,N,,0.0,1.0,0.0
25-Oct-20,Unprovoked,EGYPT,Snorkeling,,,"Boy lost arm, dive guide lost leg, ",N,,0.0,14.0,
24-Oct-20,Unprovoked,AUSTRALIA,Spearfishing,M,59,Severe injury to thigh,N,,0.0,2.0,0.0
21-Oct-20,,USA,Surfing,M,,Laceration to knee and foot,N,,0.0,1.0,0.0
9-Oct-20,Unprovoked,AUSTRALIA,Surfing,M,52,FATAL,Y,Small shark,1.0,2.0,0.0
7-Oct-20,Unprovoked,USA,Body Surfing,M,31,Laceration to lower leg,N,Blacktip shark,0.0,1.0,0.0
4-Oct-20,Unprovoked,AUSTRALIA,Surfing,M,17,"No injury, knocked off board when shark grabbed his leg rope",N,Bronze whaler shark,0.0,2.0,0.0
29-Sep-20,Provoked,USA,,M,,Minor lacerations to right foot when he stepped on the shark PROVOKED INCIDENT,N,Nurse shark,0.0,1.0,0.0
21-Sep-20,,USA,Swimming,F,61,Lacerations and puncture wounds to shoulder,N,,0.0,1.0,1.0
20-Sep-20,Unprovoked,USA,Snorkeling,M,30,Severe bite to shoulder,N,Bull shark,0.0,1.0,0.0
17-Sep-20,Provoked,AUSTRALIA,Fishing,M,50s,Arm bitten by hooked shark PROVOKED INCIDENT,N,Oceanic whitetip shark,0.0,2.0,0.0
16-Sep-20,Unprovoked,AUSTRALIA,Foil-boarding,M,,"No injury, board bitten",N,White shark,0.0,2.0,0.0
16-Sep-20,,USA,Swimming,M,48,Minor cuts and punctures to left foot,N,,0.0,1.0,0.0
15-Sep-20,Unprovoked,USA,Surfing,M,15,Cuts to right hand and wrist,N,,0.0,1.0,0.0
15-Sep-20,Unprovoked,USA,Surfing,M,25,Left arm bitten,N,,0.0,1.0,0.0
8-Sep-20,,USA,Surf fishing,M,54,Hand bitten that was holding a fish PROVOKED INCIDENT,N,Medium shark,0.0,1.0,0.0
7-Sep-20,Unprovoked,AUSTRALIA,Surfing,M,46,FATAL,Y,White shark,1.0,2.0,0.0
6-Sep-20,Unprovoked,USA,Snorkeling,F,70,Ankle bitten,N,Large shark,0.0,1.0,1.0
2-Sep-20,Unprovoked,USA,,M,,Minor injury to forearm,N,Nurse shark,0.0,1.0,0.0
30-Aug-20,Watercraft,AUSTRALIA,Fishing / Filming sharks feeding on whale carcass,,,"Shark bit boat, no injury to occupant",N,White shark,0.0,2.0,
30-Aug-20,Unprovoked,USA,Surfing,M,12,Injury to right foot and ankle,N,,0.0,1.0,0.0
28-Aug-20,Unprovoked,USA,Kayak fishing,M,,"No injury, kayak damaged",N,White shark,0.0,1.0,0.0
23-Aug-20,Unprovoked,USA,Standing,M,23,Minor injury to foot,N,,0.0,1.0,0.0
